194.94	20.50
195.21	20.50
195.48	20.50
195.75	4.80
196.02	10.00
196.29	15.90
196.56	10.90
196.83	7.60
197.10	7.80
197.37	6.20
197.64	2.70
197.91	8.20
198.18	5.60
198.45	1.70
198.72	7.70
198.99	5.30
199.26	3.00
199.53	7.90
199.80	7.80
200.07	8.40
200.34	9.20
200.61	18.20
200.87	9.30
201.14	4.90
201.41	12.10
201.68	19.80
201.95	6.10
202.22	3.30
202.49	6.00
202.76	15.70
203.03	13.50
203.30	-0.30
203.57	1.00
203.84	4.90
204.11	7.70
204.38	1.20
204.65	7.30
204.92	11.70
205.19	9.80
205.46	5.20
205.73	8.30
206.00	15.70
206.27	13.00
206.54	9.20
206.80	5.30
207.07	6.30
207.34	13.50
207.61	4.30
207.88	13.10
208.15	9.50
208.42	16.70
208.69	6.40
208.96	12.00
209.23	11.40
209.50	9.10
209.77	19.20
210.04	19.70
210.31	19.10
210.58	7.50
210.85	11.80
211.11	9.70
211.38	12.40
211.65	10.50
211.92	5.20
212.19	8.20
212.46	11.10
212.73	7.30
213.00	6.60
213.27	3.70
213.54	3.10
213.81	5.80
214.08	2.70
214.35	2.10
214.62	13.70
214.88	7.70
215.15	11.70
215.42	9.10
215.69	6.00
215.96	5.90
216.23	6.90
216.50	6.40
216.77	6.80
217.04	4.30
217.31	7.30
217.58	0.20
217.85	4.70
218.12	11.60
218.38	3.20
218.65	16.70
218.92	32.70
219.19	22.90
219.46	13.60
219.73	8.40
220.00	7.20
220.27	13.60
220.54	2.20
220.81	5.90
221.08	13.60
221.34	0.00
221.61	6.70
221.88	2.20
222.15	4.80
222.42	6.90
222.69	2.50
222.96	3.80
223.23	4.50
223.50	6.80
223.77	6.00
224.03	4.20
224.30	11.00
224.57	3.50
224.84	5.80
225.11	1.80
225.38	1.60
225.65	12.70
225.92	5.50
226.19	3.20
226.46	8.00
226.72	7.80
226.99	6.10
227.26	6.20
227.53	11.90
227.80	5.20
228.07	3.90
228.34	2.70
228.61	7.10
228.88	4.70
229.14	0.50
229.41	7.00
229.68	9.30
229.95	4.50
230.22	5.10
230.49	5.70
230.76	10.70
231.03	8.30
231.29	4.30
231.56	4.00
231.83	7.90
232.10	7.20
232.37	9.50
232.64	12.50
232.91	14.10
233.18	14.20
233.44	6.00
233.71	10.90
233.98	5.10
234.25	2.90
234.52	-3.10
234.79	3.80
235.06	7.80
235.33	6.30
235.59	7.60
235.86	13.20
236.13	16.50
236.40	19.20
236.67	4.30
236.94	11.30
237.21	9.90
237.47	8.10
237.74	-0.30
238.01	5.10
238.28	7.10
238.55	14.50
238.82	11.20
239.09	1.40
239.35	6.60
239.62	11.20
239.89	-1.20
240.16	1.00
240.43	8.40
240.70	6.00
240.97	8.50
241.23	9.20
241.50	8.20
241.77	-0.80
242.04	-2.20
242.31	0.60
242.58	5.20
242.84	8.00
243.11	4.80
243.38	3.00
243.65	2.60
243.92	11.60
244.19	6.20
244.46	4.70
244.72	9.30
244.99	3.10
245.26	-3.90
245.53	10.10
245.80	4.10
246.07	4.50
246.33	1.40
246.60	5.90
246.87	7.30
247.14	0.80
247.41	2.00
247.68	9.80
247.94	11.40
248.21	12.60
248.48	6.90
248.75	4.10
249.02	11.60
249.29	12.10
249.55	8.00
249.82	12.00
250.09	5.60
250.36	13.70
250.63	9.10
250.89	11.30
251.16	11.90
251.43	11.20
251.70	13.30
251.97	10.80
252.24	12.30
252.50	4.10
252.77	1.90
253.04	3.70
253.31	7.60
253.58	7.60
253.84	7.20
254.11	1.80
254.38	17.80
254.65	8.60
254.92	7.00
255.19	5.00
255.45	9.30
255.72	16.40
255.99	11.90
256.26	5.10
256.53	7.40
256.79	9.40
257.06	-0.30
257.33	6.90
257.60	7.00
257.87	6.50
258.13	16.50
258.40	18.30
258.67	11.60
258.94	0.30
259.21	1.30
259.47	6.60
259.74	11.20
260.01	4.80
260.28	8.50
260.55	3.90
260.81	8.40
261.08	19.50
261.35	2.10
261.62	1.80
261.89	8.20
262.15	6.40
262.42	9.30
262.69	14.80
262.96	10.60
263.23	-1.90
263.49	1.90
263.76	4.10
264.03	7.50
264.30	0.70
264.56	3.50
264.83	1.20
265.10	5.50
265.37	0.60
265.64	10.40
265.90	7.90
266.17	15.90
266.44	17.30
266.71	12.10
266.97	12.40
267.24	11.00
267.51	4.80
267.78	6.20
268.05	11.90
268.31	12.60
268.58	3.10
268.85	8.50
269.12	8.00
269.38	9.20
269.65	11.50
269.92	7.10
270.19	6.70
270.45	14.60
270.72	7.90
270.99	2.30
271.26	8.90
271.53	9.00
271.79	4.20
272.06	6.50
272.33	7.20
272.60	6.00
272.86	8.50
273.13	-0.10
273.40	7.60
273.67	20.50
273.93	14.70
274.20	10.40
274.47	4.90
274.74	14.30
275.00	10.10
275.27	5.30
275.54	12.30
275.81	8.70
276.07	-1.20
276.34	0.30
276.61	-2.10
276.88	1.80
277.14	3.40
