289.7023	1.733750	1.179405
288.3548	1.728566	1.171486
287.0198	1.723751	1.163643
285.6972	1.719298	1.155890
284.3866	1.715199	1.148243
283.0881	1.711445	1.140715
281.8013	1.708026	1.133320
280.5262	1.704931	1.126072
279.2626	1.702152	1.118982
278.0103	1.699675	1.112063
276.7691	1.697491	1.105325
275.5391	1.695587	1.098779
274.3199	1.693950	1.092434
273.1114	1.692568	1.086300
271.9135	1.691429	1.080384
270.7262	1.690520	1.074694
269.5491	1.689826	1.069237
268.3822	1.689336	1.064020
267.2254	1.689035	1.059046
266.0785	1.688911	1.054322
264.9414	1.688949	1.049851
263.8140	1.689136	1.045637
262.6961	1.689460	1.041681
261.5877	1.689906	1.037987
260.4886	1.690462	1.034555
259.3987	1.691115	1.031387
258.3179	1.691851	1.028483

